lat_cell,lon_cell,biome_name,n_recordings,n_biomes_in_cell
-47.1,-71.3,"Temperate Grasslands, Savannas & Shrublands",2,1
-47.0,168.1,Temperate Broadleaf & Mixed Forests,37,1
-47.0,168.2,Temperate Broadleaf & Mixed Forests,9,1
-46.9,168.1,Temperate Broadleaf & Mixed Forests,21,1
-46.9,168.3,Temperate Broadleaf & Mixed Forests,1,1
-46.8,-71.6,"Temperate Grasslands, Savannas & Shrublands",54,1
-46.8,-71.5,"Temperate Grasslands, Savannas & Shrublands",16,1
-46.8,-71.4,"Temperate Grasslands, Savannas & Shrublands",7,1
-46.8,167.6,Temperate Broadleaf & Mixed Forests,7,1
-46.7,-71.5,"Temperate Grasslands, Savannas & Shrublands",19,1
-46.6,-71.7,"Temperate Grasslands, Savannas & Shrublands",2,1
-46.6,-71.0,"Temperate Grasslands, Savannas & Shrublands",1,1
-46.6,168.3,Temperate Broadleaf & Mixed Forests,1,1
-46.6,168.4,Temperate Broadleaf & Mixed Forests,2,1
-46.6,169.3,Temperate Broadleaf & Mixed Forests,2,1
-46.6,169.4,Temperate Broadleaf & Mixed Forests,5,1
-46.6,169.6,Temperate Broadleaf & Mixed Forests,1,1
-46.5,169.4,Temperate Broadleaf & Mixed Forests,1,1
-46.4,-67.6,"Temperate Grasslands, Savannas & Shrublands",1,1
-45.9,170.5,"Temperate Grasslands, Savannas & Shrublands",4,1
-45.9,170.6,"Temperate Grasslands, Savannas & Shrublands",1,1
-45.8,-68.2,"Temperate Grasslands, Savannas & Shrublands",2,1
-45.8,166.6,Temperate Broadleaf & Mixed Forests,1,1
-45.8,167.5,Temperate Broadleaf & Mixed Forests,1,1
-45.8,168.4,"Temperate Grasslands, Savannas & Shrublands",2,1
-45.8,170.5,"Temperate Grasslands, Savannas & Shrublands",8,1
-45.8,170.6,"Temperate Grasslands, Savannas & Shrublands",2,1
-45.8,170.7,"Temperate Grasslands, Savannas & Shrublands",3,1
-45.7,168.3,"Temperate Grasslands, Savannas & Shrublands",1,1
-45.6,-69.3,"Temperate Grasslands, Savannas & Shrublands",6,1
-45.6,-69.1,"Temperate Grasslands, Savannas & Shrublands",1,1
-45.6,167.6,Temperate Broadleaf & Mixed Forests,1,1
-45.6,167.7,Montane Grasslands & Shrublands,1,1
-45.5,170.8,"Temperate Grasslands, Savannas & Shrublands",2,1
-45.4,-72.8,Temperate Broadleaf & Mixed Forests,1,1
-45.4,170.8,"Temperate Grasslands, Savannas & Shrublands",1,1
-45.2,-73.6,Temperate Broadleaf & Mixed Forests,2,1
-45.2,167.8,Montane Grasslands & Shrublands,5,1
-45.2,170.9,"Temperate Grasslands, Savannas & Shrublands",5,1
-45.0,-65.6,"Temperate Grasslands, Savannas & Shrublands",4,1
-45.0,168.0,Montane Grasslands & Shrublands,6,1
-44.9,-65.8,"Temperate Grasslands, Savannas & Shrublands",11,1
-44.9,168.0,Temperate Broadleaf & Mixed Forests,1,1
-44.9,168.3,Montane Grasslands & Shrublands,2,1
-44.8,168.1,Montane Grasslands & Shrublands,4,1
-44.8,168.2,Montane Grasslands & Shrublands,2,1
-44.7,169.1,"Temperate Grasslands, Savannas & Shrublands",4,1
-44.7,170.3,"Temperate Grasslands, Savannas & Shrublands",1,1
-44.6,-66.5,"Temperate Grasslands, Savannas & Shrublands",3,1
-44.5,-176.3,Temperate Broadleaf & Mixed Forests,13,1
-44.5,-72.5,Temperate Broadleaf & Mixed Forests,1,1
-44.5,168.6,Montane Grasslands & Shrublands,2,1
-44.5,169.9,"Temperate Grasslands, Savannas & Shrublands",3,1
-44.4,-176.2,Temperate Broadleaf & Mixed Forests,99,1
-44.4,-72.3,Temperate Broadleaf & Mixed Forests,1,1
-44.4,169.1,Montane Grasslands & Shrublands,1,1
-44.3,-176.4,Temperate Broadleaf & Mixed Forests,28,1
-44.3,169.2,Montane Grasslands & Shrublands,14,1
-44.3,169.8,Montane Grasslands & Shrublands,2,1
-44.3,170.1,"Temperate Grasslands, Savannas & Shrublands",5,1
-44.2,169.2,Montane Grasslands & Shrublands,1,1
-44.2,169.3,Montane Grasslands & Shrublands,7,1
-44.2,170.2,"Temperate Grasslands, Savannas & Shrublands",5,1
-44.1,-176.7,Temperate Broadleaf & Mixed Forests,227,1
-44.1,-176.6,Temperate Broadleaf & Mixed Forests,6,1
-44.1,169.3,Montane Grasslands & Shrublands,1,1
-44.0,-176.6,Temperate Broadleaf & Mixed Forests,1,1
-44.0,-176.5,Temperate Broadleaf & Mixed Forests,18,1
-44.0,170.1,"Temperate Grasslands, Savannas & Shrublands",5,1
-43.9,-176.5,Temperate Broadleaf & Mixed Forests,1,1
-43.8,-176.9,Temperate Broadleaf & Mixed Forests,2,1
-43.8,169.4,Temperate Broadleaf & Mixed Forests,2,1
-43.8,170.0,Montane Grasslands & Shrublands,2,1
-43.8,173.0,"Temperate Grasslands, Savannas & Shrublands",1,1
-43.7,146.2,Temperate Broadleaf & Mixed Forests,1,1
-43.7,169.8,Temperate Broadleaf & Mixed Forests,1,1
-43.7,169.9,Montane Grasslands & Shrublands,1,1
-43.7,172.6,"Temperate Grasslands, Savannas & Shrublands",1,1
-43.6,169.8,Temperate Broadleaf & Mixed Forests,1,1
-43.6,172.6,"Temperate Grasslands, Savannas & Shrublands",2,1
-43.5,146.1,Temperate Broadleaf & Mixed Forests,16,1
-43.5,146.8,Temperate Broadleaf & Mixed Forests,143,1
-43.5,146.9,Temperate Broadleaf & Mixed Forests,13,1
-43.5,147.1,Temperate Broadleaf & Mixed Forests,3,1
-43.5,147.2,Temperate Broadleaf & Mixed Forests,59,1
-43.5,170.0,Montane Grasslands & Shrublands,10,1
-43.4,-65.5,"Temperate Grasslands, Savannas & Shrublands",2,1
-43.4,146.8,Temperate Broadleaf & Mixed Forests,1,1
-43.4,147.2,Temperate Broadleaf & Mixed Forests,9,1
-43.4,147.3,Temperate Broadleaf & Mixed Forests,55,1
-43.4,170.1,Montane Grasslands & Shrublands,1,1
-43.3,146.7,Temperate Broadleaf & Mixed Forests,1,1
-43.3,147.3,Temperate Broadleaf & Mixed Forests,25,1
-43.3,170.1,Temperate Broadleaf & Mixed Forests,10,1
-43.3,170.2,Temperate Broadleaf & Mixed Forests,6,1
-43.2,-73.7,Temperate Broadleaf & Mixed Forests,2,1
-43.2,146.7,Temperate Broadleaf & Mixed Forests,1,1
-43.2,147.2,Temperate Broadleaf & Mixed Forests,5,1
-43.2,147.3,Temperate Broadleaf & Mixed Forests,43,1
-43.2,171.7,Montane Grasslands & Shrublands,2,1
-43.1,-73.6,Temperate Broadleaf & Mixed Forests,5,1
-43.1,146.3,Temperate Broadleaf & Mixed Forests,3,1
-43.1,146.7,Temperate Broadleaf & Mixed Forests,2,1
-43.1,147.1,Temperate Broadleaf & Mixed Forests,3,1
-43.1,147.2,Temperate Broadleaf & Mixed Forests,19,1
-43.1,147.3,Temperate Broadleaf & Mixed Forests,4,1
-43.1,147.8,Temperate Broadleaf & Mixed Forests,1,1
-43.1,147.9,Temperate Broadleaf & Mixed Forests,13,1
-43.0,-71.7,Temperate Broadleaf & Mixed Forests,2,1
-43.0,147.2,Temperate Broadleaf & Mixed Forests,30,1
-43.0,147.3,Temperate Broadleaf & Mixed Forests,2,1
-43.0,147.9,Temperate Broadleaf & Mixed Forests,3,1
-43.0,171.5,Montane Grasslands & Shrublands,12,1
-43.0,171.7,Montane Grasslands & Shrublands,4,1
-42.9,-71.8,Temperate Broadleaf & Mixed Forests,1,1
-42.9,147.2,Temperate Broadleaf & Mixed Forests,9,1
-42.9,147.3,Temperate Broadleaf & Mixed Forests,12,1
-42.9,147.5,Temperate Broadleaf & Mixed Forests,3,1
-42.9,171.5,Montane Grasslands & Shrublands,1,1
-42.8,-74.2,Temperate Broadleaf & Mixed Forests,2,1
-42.8,-74.0,Temperate Broadleaf & Mixed Forests,175,1
-42.8,-65.1,"Temperate Grasslands, Savannas & Shrublands",17,1
-42.8,147.2,Temperate Broadleaf & Mixed Forests,1,1
-42.8,147.5,Temperate Broadleaf & Mixed Forests,2,1
-42.8,171.6,Montane Grasslands & Shrublands,1,1
-42.7,-74.2,Temperate Broadleaf & Mixed Forests,28,1
-42.7,-74.1,Temperate Broadleaf & Mixed Forests,7,1
-42.7,146.6,Temperate Broadleaf & Mixed Forests,1,1
-42.7,148.0,Temperate Broadleaf & Mixed Forests,7,1
-42.7,171.2,Temperate Broadleaf & Mixed Forests,2,1
-42.6,-73.9,Temperate Broadleaf & Mixed Forests,2,1
-42.6,-64.4,"Temperate Grasslands, Savannas & Shrublands",1,1
-42.6,-64.2,"Temperate Grasslands, Savannas & Shrublands",1,1
-42.6,148.0,Temperate Broadleaf & Mixed Forests,1,1
-42.6,171.4,Temperate Broadleaf & Mixed Forests,1,1
-42.5,-64.0,"Temperate Grasslands, Savannas & Shrublands",16,1
-42.5,145.9,Temperate Broadleaf & Mixed Forests,2,1
-42.5,173.6,Temperate Broadleaf & Mixed Forests,17,1
-42.5,173.7,Temperate Broadleaf & Mixed Forests,5,1
-42.4,147.3,Temperate Broadleaf & Mixed Forests,4,1
-42.4,173.6,Temperate Broadleaf & Mixed Forests,2,1
-42.3,-71.5,Temperate Broadleaf & Mixed Forests,9,1
-42.3,148.0,Temperate Broadleaf & Mixed Forests,1,1
-42.2,145.2,Temperate Broadleaf & Mixed Forests,2,1
-42.2,145.3,Temperate Broadleaf & Mixed Forests,7,1
-42.2,145.4,Temperate Broadleaf & Mixed Forests,4,1
-42.2,148.3,Temperate Broadleaf & Mixed Forests,7,1
-42.2,171.3,Temperate Broadleaf & Mixed Forests,24,1
-42.1,-74.1,Temperate Broadleaf & Mixed Forests,8,1
-42.1,-71.9,Temperate Broadleaf & Mixed Forests,3,1
-42.1,-71.8,Temperate Broadleaf & Mixed Forests,6,1
-42.1,-71.7,Temperate Broadleaf & Mixed Forests,1,1
-42.1,171.3,Temperate Broadleaf & Mixed Forests,6,1
-42.1,171.4,Temperate Broadleaf & Mixed Forests,9,1
-42.0,-74.1,Temperate Broadleaf & Mixed Forests,3,1
-42.0,-74.0,Temperate Broadleaf & Mixed Forests,5,1
-42.0,-72.5,Temperate Broadleaf & Mixed Forests,5,1
-42.0,-71.6,Temperate Broadleaf & Mixed Forests,11,1
-42.0,171.4,Temperate Broadleaf & Mixed Forests,1,1
-41.9,-74.0,Temperate Broadleaf & Mixed Forests,35,1
-41.9,-73.7,Temperate Broadleaf & Mixed Forests,12,1
-41.9,-73.6,Temperate Broadleaf & Mixed Forests,5,1
-41.9,148.2,Temperate Broadleaf & Mixed Forests,5,1
-41.9,148.3,Temperate Broadleaf & Mixed Forests,1,1
-41.9,171.4,Temperate Broadleaf & Mixed Forests,3,1
-41.9,172.8,Temperate Broadleaf & Mixed Forests,2,1
-41.8,-73.8,Temperate Broadleaf & Mixed Forests,3,1
-41.8,-72.9,Temperate Broadleaf & Mixed Forests,1,1
-41.8,147.1,Temperate Broadleaf & Mixed Forests,3,1
-41.8,171.5,Temperate Broadleaf & Mixed Forests,1,1
-41.8,172.8,Temperate Broadleaf & Mixed Forests,1,1
-41.7,-72.7,Temperate Broadleaf & Mixed Forests,26,1
-41.7,-72.3,Temperate Broadleaf & Mixed Forests,1,1
-41.7,145.9,Temperate Broadleaf & Mixed Forests,25,1
-41.7,146.4,Temperate Broadleaf & Mixed Forests,7,1
-41.7,146.8,Temperate Broadleaf & Mixed Forests,2,1
-41.7,148.3,Temperate Broadleaf & Mixed Forests,2,1
-41.7,171.7,Temperate Broadleaf & Mixed Forests,6,1
-41.7,171.8,Temperate Broadleaf & Mixed Forests,13,1
-41.6,-72.8,Temperate Broadleaf & Mixed Forests,38,1
-41.6,-72.7,Temperate Broadleaf & Mixed Forests,20,1
-41.6,-72.6,Temperate Broadleaf & Mixed Forests,22,1
-41.6,-72.5,Temperate Broadleaf & Mixed Forests,2,1
-41.6,145.9,Temperate Broadleaf & Mixed Forests,12,1
-41.6,147.1,Temperate Broadleaf & Mixed Forests,1,1
-41.6,173.9,Temperate Broadleaf & Mixed Forests,1,1
-41.5,-73.5,Temperate Broadleaf & Mixed Forests,1,1
