lat,lon,first_year,last_year,first_richness,last_richness,delta,direction
51.65,0.45,2024,2025,16.4,12.59,-3.81,down
48.45,17.25,2023,2024,7.81,1.0,-6.81,down
48.25,17.15,2023,2024,11.73,6.15,-5.58,down
42.75,2.15,2023,2024,12.09,14.44,2.35,up
47.85,3.15,2024,2025,8.69,9.6,0.91,up
51.55,-0.15,2023,2025,3.91,7.54,3.63,up
49.25,-0.25,2023,2025,8.02,13.78,5.76,up
60.75,10.95,2023,2025,23.96,23.65,-0.31,flat
41.45,0.65,2023,2024,8.0,7.18,-0.82,down
41.45,46.15,2023,2025,5.82,8.91,3.09,up
63.75,20.05,2023,2025,9.84,7.0,-2.84,down
51.75,16.65,2023,2024,11.79,7.92,-3.86,down
37.05,-3.65,2023,2024,11.0,5.5,-5.5,down
37.15,-7.45,2023,2024,7.97,9.12,1.15,up
41.75,-8.85,2023,2025,15.19,15.17,-0.02,flat
41.55,0.65,2023,2025,11.94,8.5,-3.44,down
37.05,-8.05,2023,2025,10.63,8.2,-2.43,down
41.35,-3.85,2023,2024,14.65,15.83,1.18,up
50.45,3.75,2023,2025,13.47,8.44,-5.03,down
50.65,5.65,2023,2025,8.38,6.22,-2.16,down
47.45,7.45,2023,2024,17.92,17.09,-0.83,down
43.75,-7.85,2023,2025,8.95,8.79,-0.17,flat
47.85,1.95,2024,2025,11.93,11.56,-0.37,flat
63.75,20.25,2023,2025,11.73,8.82,-2.91,down
53.15,6.05,2023,2025,8.41,6.5,-1.91,down
60.25,25.05,2023,2025,11.98,8.98,-3.0,down
47.55,-0.55,2023,2025,4.23,7.09,2.86,up
48.15,-1.65,2023,2025,13.62,9.29,-4.33,down
52.65,-0.65,2024,2025,12.51,14.14,1.63,up
46.65,-1.45,2024,2025,8.02,7.0,-1.02,down
50.75,3.05,2024,2025,9.22,7.9,-1.32,down
54.25,8.65,2023,2024,5.85,8.7,2.85,up
46.25,-1.15,2023,2025,8.95,7.68,-1.28,down
41.85,-5.55,2023,2025,13.19,8.0,-5.19,down
51.35,4.25,2023,2024,11.36,15.26,3.9,up
58.95,17.65,2023,2025,29.05,14.96,-14.09,down
42.25,-8.75,2023,2025,6.32,9.33,3.02,up
43.25,-1.65,2023,2024,1.0,8.47,7.47,up
43.15,-0.45,2023,2024,8.1,10.08,1.98,up
56.45,9.65,2023,2025,7.63,8.74,1.11,up
50.25,16.85,2023,2024,11.35,8.45,-2.9,down
57.95,22.05,2023,2025,11.15,14.0,2.85,up
51.75,-0.25,2023,2025,6.1,7.53,1.44,up
50.65,4.25,2024,2025,8.11,9.3,1.19,up
43.55,4.65,2024,2025,5.75,9.97,4.22,up
59.55,18.15,2023,2024,16.34,9.71,-6.64,down
57.75,10.65,2023,2025,10.29,20.0,9.71,up
43.35,-2.85,2023,2024,13.0,9.0,-4.0,down
43.55,4.15,2024,2025,8.08,14.86,6.78,up
40.75,0.75,2023,2025,9.1,8.91,-0.19,flat
51.65,3.75,2023,2025,11.0,19.69,8.69,up
39.35,-0.35,2023,2025,9.38,8.47,-0.91,down
42.35,-8.75,2024,2025,8.5,9.06,0.56,up
39.65,16.75,2023,2025,12.0,11.63,-0.37,flat
34.75,32.45,2023,2025,8.37,9.98,1.61,up
39.35,16.55,2023,2024,17.46,14.99,-2.47,down
39.25,16.55,2024,2025,14.57,14.33,-0.24,flat
40.95,-5.65,2023,2024,11.54,11.95,0.41,flat
36.65,-4.45,2023,2025,8.92,12.57,3.65,up
47.95,2.15,2024,2025,10.18,11.26,1.08,up
63.15,9.45,2024,2025,15.4,13.41,-1.99,down
52.25,13.65,2023,2024,19.57,19.58,0.0,flat
52.35,4.95,2023,2024,18.65,17.81,-0.84,down
59.65,17.35,2023,2025,16.77,9.51,-7.27,down
52.05,4.45,2023,2025,19.5,16.07,-3.43,down
58.65,16.75,2023,2024,11.75,10.53,-1.22,down
50.75,4.35,2023,2025,11.29,8.8,-2.48,down
52.25,4.95,2024,2025,8.45,6.0,-2.45,down
50.35,3.95,2024,2025,8.48,8.43,-0.05,flat
51.05,2.35,2023,2025,8.52,8.99,0.48,flat
45.85,0.95,2023,2025,7.69,8.11,0.42,flat
50.15,1.75,2024,2025,5.95,13.16,7.21,up
47.45,0.35,2023,2024,8.85,7.95,-0.9,down
51.85,5.15,2024,2025,7.53,5.98,-1.55,down
50.35,3.55,2024,2025,8.5,6.1,-2.39,down
43.15,-7.85,2023,2024,12.0,9.48,-2.52,down
61.45,23.25,2024,2025,8.37,7.7,-0.67,down
48.85,2.05,2024,2025,7.79,8.52,0.72,up
47.35,9.55,2023,2025,15.11,7.64,-7.47,down
45.85,1.25,2023,2025,7.79,7.69,-0.1,flat
50.95,2.85,2023,2024,6.0,6.51,0.51,up
47.75,-2.45,2024,2025,9.29,7.7,-1.59,down
45.25,1.75,2024,2025,6.37,5.04,-1.33,down
52.55,13.45,2023,2025,3.07,2.02,-1.05,down
52.55,-2.15,2023,2025,9.91,6.91,-3.0,down
41.85,-5.65,2023,2025,12.7,5.0,-7.7,down
51.95,4.45,2023,2025,15.1,14.18,-0.92,down
38.75,-27.25,2023,2024,9.6,10.29,0.69,up
55.65,14.35,2024,2025,9.1,14.91,5.81,up
50.75,2.95,2023,2025,9.97,9.19,-0.78,down
38.45,-28.25,2023,2024,6.8,6.29,-0.51,down
47.25,-1.55,2024,2025,16.34,14.45,-1.9,down
44.15,5.15,2023,2024,7.14,6.0,-1.14,down
51.45,5.45,2023,2025,9.99,13.6,3.61,up
56.45,9.15,2023,2024,14.18,20.41,6.23,up
49.35,0.45,2023,2025,18.51,20.87,2.36,up
60.25,25.15,2023,2025,21.23,17.62,-3.61,down
41.95,-8.75,2023,2024,14.14,10.0,-4.14,down
47.35,-1.55,2023,2025,7.14,12.63,5.48,up
50.35,3.65,2024,2025,6.45,8.45,2.0,up
48.85,-1.55,2024,2025,7.63,7.65,0.02,flat
59.25,18.05,2023,2024,18.68,5.0,-13.68,down
46.55,0.35,2023,2025,9.05,5.59,-3.47,down
49.25,0.65,2024,2025,21.01,19.96,-1.05,down
42.65,44.65,2024,2025,7.46,12.1,4.64,up
48.65,-2.85,2023,2024,6.99,6.83,-0.16,flat
59.25,23.55,2024,2025,7.54,7.52,-0.02,flat
43.65,4.65,2023,2024,11.04,7.5,-3.54,down
57.05,-6.25,2023,2025,11.8,9.55,-2.26,down
34.75,32.55,2023,2025,7.14,7.05,-0.09,flat
43.45,4.65,2023,2025,14.0,17.0,3.0,up
52.05,-8.55,2023,2025,9.07,6.85,-2.22,down
36.25,33.95,2023,2024,8.53,10.55,2.01,up
48.85,9.05,2023,2024,16.83,7.47,-9.37,down
42.25,3.15,2024,2025,10.0,10.0,0.0,flat
38.55,-28.35,2023,2024,9.2,9.91,0.72,up
53.95,-1.25,2023,2024,8.88,5.57,-3.3,down
59.55,17.15,2023,2025,10.46,9.16,-1.3,down
54.65,18.85,2023,2024,7.05,8.07,1.02,up
55.55,14.25,2024,2025,18.95,15.65,-3.3,down
59.15,18.25,2023,2024,25.1,14.0,-11.1,down
45.75,4.85,2023,2024,3.48,14.64,11.15,up
39.35,16.35,2023,2024,14.62,13.65,-0.97,down
54.95,-1.45,2023,2024,11.38,8.99,-2.39,down
50.15,5.25,2023,2025,10.55,7.55,-3.0,down
52.25,13.95,2023,2024,18.04,13.0,-5.04,down
50.15,18.95,2023,2024,10.5,11.14,0.64,up
50.75,0.25,2023,2025,6.03,10.0,3.97,up
48.75,-2.95,2023,2025,8.66,2.94,-5.72,down
59.35,17.15,2023,2024,11.32,13.79,2.47,up
53.65,-10.15,2023,2025,4.98,11.24,6.26,up
58.45,26.25,2023,2024,18.61,16.09,-2.52,down
53.15,4.85,2023,2025,11.0,16.64,5.64,up
63.75,20.45,2024,2025,7.76,8.0,0.24,flat
52.15,0.15,2023,2024,12.23,9.75,-2.48,down
49.25,-1.25,2024,2025,7.51,7.57,0.06,flat
56.45,12.55,2023,2025,22.32,10.27,-12.05,down
49.35,0.65,2024,2025,18.83,23.0,4.17,up
55.65,-1.75,2023,2024,20.59,15.4,-5.19,down
48.35,-0.45,2023,2024,9.79,8.71,-1.07,down
42.55,-5.75,2023,2024,17.95,16.74,-1.21,down
40.65,0.85,2023,2025,8.13,7.91,-0.22,flat
55.15,11.75,2024,2025,5.89,6.73,0.83,up
47.85,-2.25,2024,2025,11.0,18.96,7.96,up
64.25,20.15,2024,2025,11.96,9.45,-2.51,down
64.05,20.55,2023,2024,4.22,2.59,-1.63,down
70.05,29.75,2024,2025,3.24,1.0,-2.24,down
64.25,19.75,2023,2024,1.0,4.8,3.8,up
48.25,14.45,2023,2024,12.0,22.31,10.31,up
49.25,0.75,2024,2025,20.94,16.19,-4.75,down
48.55,9.05,2024,2025,2.49,2.25,-0.24,flat
61.75,14.75,2024,2025,7.64,10.12,2.48,up
