year,urban_class,n_recordings,Acoustic_Complexity_Index__main_value__mean,Acoustic_Complexity_Index__main_value__median,Bio_acoustic_Index__main_value__mean,Bio_acoustic_Index__main_value__median,Acoustic_Diversity_Index__main_value__mean,Acoustic_Diversity_Index__main_value__median,Acoustic_Evenness_Index__main_value__mean,Acoustic_Evenness_Index__main_value__median,Normalized_Difference_Sound_Index__main_value__mean,Normalized_Difference_Sound_Index__main_value__median,Spectral_Entropy__main_value__mean,Spectral_Entropy__main_value__median,Temporal_Entropy__main_value__mean,Temporal_Entropy__main_value__median,NB_peaks__main_value__mean,NB_peaks__main_value__median,Wave_SNR__SNR__mean,Wave_SNR__SNR__median,Spectral_centroid__mean__mean,Spectral_centroid__mean__median,ZCR__mean__mean,ZCR__mean__median,RMS_energy__mean__mean,RMS_energy__mean__median
2015,city,2799,1747.7708728981945,962.524258949188,12.36371158891277,9.450134462256148,1.8705503555247267,1.958051679496294,0.27571717961397846,0.2531941561023012,0.5499643265203938,0.796192413939603,0.818730847745495,0.8192953564829313,0.9592767082754181,0.9680007546892196,3.977491961414791,3.0,36.978603913001066,39.06223269505891,4622.469922598036,4034.917871196882,0.15946493428583128,0.1393241226184175,0.017367365200604636,0.0112534041808302
2015,rural,45982,2058.8011004673626,1183.5354361509949,11.16404677539773,9.65059447433427,1.8126589485123612,1.9157028874358744,0.3066436495865613,0.2918216685142885,0.6387257360786425,0.8994392601228884,0.8205440888357125,0.8305453461911756,0.9465304406319082,0.954704038787997,3.896561473716262,3.0,41.99301554827141,44.55559126226933,5208.614903020667,4976.436714553607,0.17782884252606074,0.17029062374092463,0.019237061985343373,0.012573039781296001
2015,town,903,2156.462128465349,1139.194712750922,11.476424370685073,9.228008922108923,1.826198000860691,1.915376957335159,0.30728110309950324,0.2958865654097191,0.5951917674160384,0.8221201007818877,0.8128081551621809,0.8218057838177436,0.9534805677885662,0.9601162953848392,3.6677740863787376,3.0,41.14575026606001,42.83712588720822,4808.404674251435,4538.350298294125,0.165737331982055,0.1561623239016236,0.020820296235502092,0.0125158981222445
2016,city,2889,1997.1233905388526,1009.0868287011584,11.632856052254018,9.17744935598979,1.8476404707264769,1.9383105767962832,0.2860040898413501,0.26826261409348,0.4953022551140713,0.7447842170658004,0.8140865844532067,0.8157160719320787,0.9610789424950917,0.9693280866345744,3.713049498096227,3.0,33.77747328282352,33.53635702315248,4286.883794237467,4025.838536803497,0.1517593141451983,0.1343307940932995,0.016899079604514543,0.0107585622045259
2016,rural,42414,2814.2501726678915,1236.6499152936503,10.974325301134654,9.331246902593765,1.8203300129220945,1.9201712784065388,0.30439389994396043,0.2885493431592438,0.6293347745190844,0.8956984408117971,0.8211704998156121,0.8299522924547778,0.9489499183619323,0.9568812150114436,3.7498408506825736,3.0,40.263954988474055,42.469388422423854,5086.843840522266,4930.948575763056,0.1766050271387913,0.16781492115421115,0.017129029213560982,0.0106805106787361
2016,town,976,2776.307604440637,1386.8683026185622,11.71056710774942,8.903714185335225,1.8536040625769723,1.9318257610929856,0.2846919767252976,0.2747863421073964,0.6491179301549632,0.8773510183561609,0.8228955425308001,0.8263280413994811,0.9497901533400086,0.9570356482617972,3.8504098360655736,3.0,41.471034432794426,43.66333009176951,5197.653221552346,5087.21474558823,0.1885906173655457,0.17742528229806187,0.017254845299702462,0.01349291356709565
2017,city,2982,2001.2038176734152,976.9479653007256,14.579743235396828,10.043125386094585,1.804798499091292,1.92071228982729,0.3020061784818892,0.28175225383227886,0.547265578522366,0.8060266579941567,0.8281784071246037,0.8336128757967157,0.9543997643451894,0.9615489382605824,4.006036217303823,3.0,36.364582512905315,37.62109018552166,4663.668722955105,4401.048784180588,0.17290209726146336,0.15465282612170525,0.018307773522470306,0.0099314432079897
2017,rural,50936,2852.954759860374,1159.5439951274955,10.649280511562774,9.475487351646864,1.754997531172338,1.909309416351896,0.30426141807226914,0.28955629045379,0.6407731412224357,0.9021095805517136,0.8237066577470185,0.8329206361743555,0.9482395888752979,0.9554231098838972,3.671391828480553,3.0,40.30518685000184,42.60991252737052,5234.223040629686,5012.238437532207,0.17366242301542256,0.16721851317855624,0.017856764649509797,0.0119490798582716
2017,town,1153,2124.1295295050304,924.253065906984,11.46199356847761,9.731607610032093,1.7705742911477138,1.8707100052418824,0.32774858156957426,0.3266302579529305,0.6155477381529599,0.8547120747871125,0.8143965845567832,0.8178775303165013,0.940846338168793,0.9470711881802036,3.666088464874241,3.0,42.80784972726541,45.68514250587084,5028.868453678518,4819.249577036694,0.1664518660118172,0.1556224209078404,0.01970636455637379,0.0128097019624174
2018,city,4226,1758.624222110782,829.3804393171781,11.672729178285318,8.66020718015722,1.8306516539436577,1.938217681087672,0.29061631307181224,0.2740958702010673,0.4178853377577904,0.6789209568944315,0.8245483242472662,0.8351645926240152,0.9557345080160451,0.9654489643025316,3.986275437766209,3.0,34.739879886800814,35.825640973309,5235.168370819203,4370.407276136938,0.15865158855670097,0.13870313514717691,0.016725560943334317,0.010155938625017551
