lat,lon,continent,n_rec,richness,label,label_code
36.85,21.95,europe,18,12.714,good,2
51.95,5.15,europe,18,9.51,moderate,1
60.75,15.45,europe,17,11.331,moderate,1
48.15,11.15,europe,10,10.0,moderate,1
52.45,-0.15,europe,17,13.228,good,2
42.45,19.55,europe,27,1.0,bad,0
37.65,-2.55,europe,15,3.662,bad,0
41.25,1.95,europe,36,7.458,bad,0
60.45,25.05,europe,13,14.266,good,2
35.35,23.65,europe,47,1.0,bad,0
36.75,-2.15,europe,28,5.942,bad,0
43.95,4.65,europe,13,8.608,moderate,1
51.55,3.65,europe,11,10.364,moderate,1
43.25,22.05,europe,13,6.801,bad,0
44.25,4.65,europe,11,5.818,bad,0
53.25,13.35,europe,10,10.0,moderate,1
58.85,22.85,europe,30,12.972,good,2
45.65,5.85,europe,16,7.875,bad,0
39.95,3.15,europe,14,4.791,bad,0
52.55,6.15,europe,38,10.538,moderate,1
52.45,21.25,europe,21,8.006,bad,0
43.05,-9.25,europe,11,4.818,bad,0
51.45,13.05,europe,10,7.0,bad,0
29.25,-13.55,europe,128,2.546,bad,0
43.45,-1.55,europe,11,11.636,moderate,1
49.15,20.25,europe,16,5.242,bad,0
50.05,21.45,europe,19,9.737,moderate,1
42.65,19.65,europe,14,3.143,bad,0
37.85,14.05,europe,40,1.0,bad,0
37.95,-2.45,europe,14,3.418,bad,0
38.95,21.25,europe,12,2.0,bad,0
59.45,18.95,europe,13,12.108,moderate,1
52.05,-1.35,europe,21,10.088,moderate,1
52.15,-6.65,europe,22,7.474,bad,0
56.15,47.75,europe,46,8.45,bad,0
41.85,-7.65,europe,14,16.549,good,2
43.85,1.75,europe,57,9.565,moderate,1
43.75,4.65,europe,28,4.808,bad,0
45.25,2.15,europe,16,12.588,good,2
43.85,18.45,europe,11,11.455,moderate,1
49.15,13.35,europe,12,14.955,good,2
41.15,48.15,europe,10,4.0,bad,0
61.65,12.75,europe,32,9.166,moderate,1
50.95,5.35,europe,41,9.363,moderate,1
64.95,-23.75,europe,37,4.56,bad,0
45.05,1.55,europe,20,3.457,bad,0
65.65,-20.25,europe,28,6.668,bad,0
45.75,11.15,europe,24,3.917,bad,0
52.65,0.65,europe,24,5.727,bad,0
52.05,19.15,europe,23,8.553,bad,0
64.85,-24.05,europe,26,2.613,bad,0
52.35,0.75,europe,14,19.89,good,2
53.65,23.05,europe,11,5.636,bad,0
46.25,9.05,europe,16,5.0,bad,0
51.45,-9.85,europe,424,8.93,bad,0
37.15,-4.35,europe,13,2.962,bad,0
38.05,-2.55,europe,21,4.588,bad,0
36.75,-5.45,europe,20,6.466,bad,0
46.75,17.75,europe,12,8.121,bad,0
49.95,21.35,europe,10,8.0,bad,0
50.05,11.65,europe,11,19.545,good,2
43.65,4.75,europe,11,9.636,moderate,1
39.85,-8.85,europe,37,25.456,good,2
