lat,lon,continent,n_rec,richness,label,label_code
50.45,3.05,europe,11,14.0,good,2
53.35,-1.75,europe,24,9.273,moderate,1
43.15,6.25,europe,26,14.846,good,2
45.55,8.25,europe,10,12.0,moderate,1
49.55,8.45,europe,17,15.26,good,2
51.25,5.65,europe,43,5.36,bad,0
45.25,24.65,europe,32,2.536,bad,0
38.85,-7.05,europe,12,10.47,moderate,1
49.45,0.85,europe,28,14.465,good,2
47.95,19.05,europe,23,20.829,good,2
32.75,-16.85,europe,67,5.917,bad,0
44.35,4.45,europe,11,6.636,bad,0
42.25,9.05,europe,71,7.635,bad,0
50.05,4.65,europe,20,4.757,bad,0
28.05,-15.55,europe,22,7.749,bad,0
49.45,17.25,europe,13,12.15,moderate,1
