realm,n_recordings,Acoustic_Complexity_Index__main_value__mean,Acoustic_Complexity_Index__main_value__median,Bio_acoustic_Index__main_value__mean,Bio_acoustic_Index__main_value__median,Acoustic_Diversity_Index__main_value__mean,Acoustic_Diversity_Index__main_value__median,Acoustic_Evenness_Index__main_value__mean,Acoustic_Evenness_Index__main_value__median,Normalized_Difference_Sound_Index__main_value__mean,Normalized_Difference_Sound_Index__main_value__median,Spectral_Entropy__main_value__mean,Spectral_Entropy__main_value__median,Temporal_Entropy__main_value__mean,Temporal_Entropy__main_value__median,NB_peaks__main_value__mean,NB_peaks__main_value__median,Wave_SNR__SNR__mean,Wave_SNR__SNR__median,Spectral_centroid__mean__mean,Spectral_centroid__mean__median,ZCR__mean__mean,ZCR__mean__median,RMS_energy__mean__mean,RMS_energy__mean__median
Palearctic,413756,2670.603354274786,969.3927273146816,9.849603364302016,8.617167118912658,1.7786846935568628,1.9440614274064827,0.2698786591456319,0.2519000473035987,0.5542846174673112,0.8340636002251299,0.8369628962248331,0.8421945962538285,0.9525862238217271,0.9616004724019883,3.601236797381355,3.0,33.051208887686194,34.056230814758614,5473.87511103742,5136.996924722918,0.16899359914884662,0.15744908187348333,0.012927463066688728,0.00770705330964465
Neotropic,123907,1596.7655711304549,934.9721176414268,10.055069332182079,8.35779684656082,1.8800648174251489,1.9918476730930503,0.25133310675955917,0.21257024547083164,0.6443070566871902,0.8813019686312737,0.8370192728241973,0.8450234024778589,0.9546643226202154,0.9630604763004305,4.415502449496784,4.0,37.19819086413634,39.05297754374487,5576.358267699596,5320.462002423835,0.20374924692737578,0.1907955830103359,0.020674159116939435,0.01373322164716565
Nearctic,65968,2118.686530489407,1209.6049694488995,10.599398328391802,9.036445944245116,1.8406957137669542,1.9346875248849758,0.2916525557993336,0.27546889416616815,0.6528796550425335,0.9046035266035948,0.8344320783177296,0.8399831209847665,0.948722919180825,0.9575357801449328,3.901162702563403,3.0,37.25733494740413,39.76694138447256,5556.473747598843,5144.613246627305,0.18805805581405413,0.1702877060809124,0.01684973830260469,0.0109498138820416
Afrotropic,60803,1340.508602819534,901.26192005069,10.912791959973072,9.604143562888328,1.8259692210804621,1.9392880873644591,0.29180924547716075,0.2664471486040385,0.6096893554809237,0.8637654409284976,0.8242561222930365,0.8323688021085438,0.9521146306709306,0.9599060977059568,4.277967830005592,4.0,35.8487900725726,37.9535206584442,5375.961841733067,5223.719953574145,0.20455797669959896,0.1789353923323285,0.019348472618732702,0.01325972724747685
Indomalayan,51744,1396.662506656958,979.1582980828672,12.069879218606413,9.74457801064813,1.7959411089344528,1.9181655476408745,0.3110836964803242,0.2865458015267177,0.5870979528990942,0.8951763059185236,0.8097394107154611,0.8224582263992142,0.9521537059062212,0.9592545017423776,4.029781230674088,4.0,39.117763521061754,41.792441127176836,5261.899652620265,5023.919344717336,0.1885466037581988,0.17836036142021772,0.02460711123671762,0.0175837404212831
Australasia,24553,1517.4594233799671,952.730535788966,10.750641785679626,8.84127132966253,1.81583571153748,1.925532446210782,0.30832272729708,0.288413452522348,0.5298183975460428,0.799019233074945,0.8169200997925709,0.8247488873908819,0.9484535667606502,0.9565585123596512,4.067975400154768,4.0,39.102049192508325,43.55948763888784,5079.902674071638,4869.010273849951,0.1841630301067567,0.1653937220268542,0.019774775248277376,0.0141112710558205
Oceania,740,1567.6500476935464,993.0739483339453,10.647681311144348,9.50721824238943,1.8533967442419081,1.9400432743281124,0.29499980803855125,0.27844673245665225,0.6789995268373089,0.8544359688468817,0.820262032852974,0.8264813901041743,0.9547382050612405,0.9619509474544,3.843243243243243,3.0,38.26090390872037,39.153580103737085,4673.531310943913,4504.322488675924,0.15731938352708125,0.14861963700126615,0.02066070613487496,0.014996127181028149
N/A,26,2347.904636199802,1864.1256206744288,13.451316556965889,13.720218678929811,1.7645143906772631,1.8341424389041623,0.38378982187960986,0.36705341388280355,0.7795801267281252,0.9678599496486019,0.7728532364002975,0.7872597213779711,0.9286293052827114,0.9307104298568187,3.769230769230769,3.0,40.192380782625676,39.05534321614677,4169.815095346058,3907.4632673792535,0.1298083638356177,0.1228896038517907,0.012869606747252545,0.00685720149502165
Antarctica,2,765.3218048117633,765.3218048117633,9.269175286304213,9.269175286304213,1.9894627367509772,1.9894627367509772,0.20210004974630164,0.20210004974630164,0.7589988000458572,0.7589988000458572,0.7819283706099611,0.7819283706099611,0.9648568613919436,0.9648568613919436,2.0,2.0,30.265908583849725,30.265908583849725,3520.8175469279686,3520.8175469279686,0.1072286462146167,0.1072286462146167,0.01851883631388365,0.01851883631388365
