lat_cell,lon_cell,continent,year,n_rec,S_obs,S_rare10
-27.4,-66.0,america,2024,1,1,
44.0,-70.3,america,2025,1,1,
18.3,-65.0,america,2024,1,1,
42.3,-83.1,america,2023,2,2,
-8.2,-35.4,america,2024,2,1,
40.6,-74.0,america,2023,1,1,
5.9,-75.8,america,2024,1,1,
43.3,-73.8,america,2023,1,1,
-23.4,-44.9,america,2023,1,1,
45.0,-75.7,america,2024,1,2,
44.3,-123.6,america,2024,2,4,
-12.1,-77.0,america,2023,1,1,
51.1,-114.2,america,2023,1,1,
-4.3,-80.0,america,2023,1,1,
4.6,-74.1,america,2024,3,2,
2.2,-74.8,america,2023,1,2,
39.4,-105.1,america,2025,1,1,
-23.7,-46.6,america,2024,2,1,
34.1,-118.1,america,2024,1,1,
30.0,-84.2,america,2023,3,4,
39.4,-76.6,america,2024,1,1,
21.1,-88.2,america,2025,1,1,
-33.4,-70.6,america,2025,1,1,
-10.8,-74.2,america,2024,6,3,
42.2,-85.2,america,2024,2,2,
-34.5,-58.5,america,2025,1,1,
8.5,-71.4,america,2024,1,1,
4.8,-75.9,america,2025,1,1,
-1.4,-48.5,america,2024,1,1,
5.5,-74.1,america,2025,1,1,
7.0,-74.1,america,2023,4,2,
21.2,-157.8,america,2025,1,1,
30.3,-97.5,america,2025,1,1,
5.1,-74.3,america,2023,1,1,
19.6,-155.4,america,2023,1,4,
11.1,-74.2,america,2023,10,2,2.0
34.0,-118.1,america,2023,2,1,
34.9,-92.2,america,2025,1,1,
34.9,-82.4,america,2025,1,1,
36.1,-84.1,america,2025,1,1,
17.2,-89.7,america,2023,1,2,
43.6,-116.3,america,2025,2,1,
-41.1,-71.5,america,2023,2,3,
39.0,-77.4,america,2023,2,3,
11.0,-84.5,america,2025,1,1,
45.7,-120.8,america,2025,1,2,
-41.2,-71.4,america,2023,4,5,
37.5,-122.5,america,2025,1,1,
-13.2,-72.6,america,2025,1,1,
-2.7,-61.0,america,2023,2,1,
38.4,-90.3,america,2024,1,1,
48.7,-120.7,america,2024,1,1,
-50.4,-72.3,america,2023,2,3,
43.1,-72.6,america,2024,1,1,
-34.8,-58.5,america,2025,1,1,
-29.4,-50.9,america,2024,1,1,
49.0,-122.1,america,2025,2,5,
25.3,-101.0,america,2023,1,1,
45.0,-75.7,america,2023,1,1,
37.6,-110.1,america,2025,1,1,
43.7,-69.8,america,2023,1,1,
44.0,-70.2,america,2023,1,1,
39.4,-105.3,america,2023,1,1,
9.6,-84.0,america,2024,1,1,
6.9,-74.2,america,2024,8,1,
5.5,-74.1,america,2024,7,1,
-3.2,-60.1,america,2025,1,1,
49.1,-54.7,america,2024,2,3,
33.0,-80.2,america,2024,3,1,
44.5,-104.8,america,2025,1,1,
40.0,-88.3,america,2025,1,1,
23.5,-105.9,america,2024,1,1,
5.2,-76.1,america,2025,3,3,
-25.1,-57.2,america,2025,1,1,
-21.3,-62.4,america,2025,1,1,
-22.9,-43.1,america,2025,1,1,
37.4,-122.3,america,2024,1,1,
9.3,-75.4,america,2025,1,1,
27.8,-82.4,america,2025,1,1,
9.4,-75.7,america,2024,1,1,
38.8,-104.9,america,2023,2,1,
9.9,-84.3,america,2023,1,1,
41.4,-70.7,america,2024,2,1,
23.8,-110.1,america,2025,1,1,
-29.9,-71.3,america,2024,1,1,
36.1,-82.0,america,2025,1,1,
27.6,-82.8,america,2025,2,3,
35.9,-84.3,america,2024,1,6,
4.0,-73.4,america,2023,3,2,
34.7,-86.4,america,2025,1,1,
43.0,-72.5,america,2023,3,2,
35.9,-84.3,america,2023,1,2,
34.1,-88.0,america,2023,1,1,
25.6,-100.4,america,2023,1,2,
30.2,-81.6,america,2025,1,1,
18.3,-65.8,america,2023,2,2,
4.1,-54.7,america,2023,1,2,
0.5,-76.3,america,2024,1,1,
28.3,-82.3,america,2025,1,1,
9.0,-79.6,america,2024,3,1,
-27.4,-59.0,america,2023,1,1,
32.0,-110.7,america,2023,1,4,
-6.8,-35.2,america,2023,1,1,
33.1,-80.1,america,2024,1,1,
21.0,-89.8,america,2024,3,9,
4.5,-75.7,america,2024,3,4,
49.0,-113.9,america,2024,1,1,
35.0,-97.2,america,2024,1,1,
-32.3,-58.2,america,2024,3,3,
25.1,-106.6,america,2025,1,1,
21.4,-99.1,america,2023,1,1,
30.1,-84.2,america,2023,1,1,
28.6,-81.6,america,2023,1,2,
-3.6,-60.0,america,2024,1,1,
37.5,-122.4,america,2024,4,1,
43.6,-81.1,america,2023,1,4,
-34.8,-56.2,america,2024,1,1,
-16.4,-39.2,america,2025,1,1,
4.6,-74.3,america,2024,4,4,
5.7,-74.0,america,2025,1,1,
20.3,-89.6,america,2023,1,1,
-23.8,-45.5,america,2025,1,1,
22.1,-101.1,america,2024,1,1,
17.5,-63.2,america,2025,1,1,
54.4,-108.9,america,2025,1,2,
43.0,-79.3,america,2024,1,1,
48.7,-122.5,america,2023,1,5,
39.9,-105.3,america,2023,1,6,
31.1,-97.6,america,2023,2,2,
-34.4,-58.7,america,2023,1,1,
19.5,-99.1,america,2024,1,2,
1.1,-77.1,america,2024,1,1,
16.4,-85.9,america,2025,1,1,
44.1,-70.2,america,2025,1,1,
-0.4,-79.7,america,2024,1,1,
34.8,-83.4,america,2024,1,1,
44.9,-72.6,america,2025,1,1,
-9.6,-35.8,america,2025,1,1,
-23.7,-47.0,america,2025,1,1,
-16.9,-49.4,america,2023,3,3,
10.3,-85.5,america,2025,1,1,
-4.3,-79.9,america,2023,1,1,
3.6,-76.3,america,2025,1,1,
40.5,-105.1,america,2025,1,2,
-30.1,-51.2,america,2025,1,1,
44.3,-71.6,america,2025,2,2,
42.2,-72.7,america,2023,1,1,
-31.9,-62.8,america,2024,1,1,
-24.3,-65.3,america,2024,1,1,
9.5,-84.8,america,2025,1,1,
35.6,-83.5,america,2024,1,1,
35.2,-97.6,america,2025,1,1,
28.8,-82.1,america,2025,2,6,
10.3,-74.1,america,2023,2,1,
-44.9,-65.8,america,2024,1,2,
40.3,-107.6,america,2023,1,1,
7.5,-80.9,america,2025,1,1,
44.1,-86.5,america,2025,1,1,
32.7,-97.2,america,2024,2,1,
37.3,-122.3,america,2023,2,1,
18.4,-66.7,america,2023,1,1,
8.6,-83.2,america,2023,1,1,
35.1,-85.4,america,2024,1,1,
-2.9,-79.4,america,2023,1,1,
-22.1,-48.5,america,2023,1,2,
9.1,-78.8,america,2023,1,1,
36.5,-122.0,america,2023,1,1,
38.8,-86.5,america,2023,1,1,
37.2,-122.1,america,2024,1,1,
33.3,-111.7,america,2025,1,2,
44.0,-79.5,america,2025,1,3,
48.5,-71.6,america,2023,1,1,
51.0,-115.5,america,2023,1,1,
5.6,-75.9,america,2024,1,1,
28.4,-81.4,america,2025,1,1,
49.0,-54.7,america,2025,1,3,
36.6,-81.9,america,2025,1,1,
42.0,-111.7,america,2023,1,1,
5.7,-73.5,america,2024,1,1,
16.5,-96.8,america,2023,2,1,
8.5,-83.6,america,2023,3,2,
37.8,-122.7,america,2025,1,1,
46.7,-92.1,america,2025,1,4,
47.5,-122.1,america,2024,1,2,
29.6,-81.3,america,2023,1,1,
32.7,-97.2,america,2025,1,1,
-13.4,-54.2,america,2023,1,1,
-0.7,-77.6,america,2025,4,7,
25.0,-77.5,america,2024,2,2,
6.6,-71.1,america,2024,1,1,
38.5,-90.3,america,2025,1,2,
31.9,-86.2,america,2025,1,1,
6.7,-74.3,america,2024,1,4,
-25.7,-54.6,america,2023,3,4,
4.9,-75.4,america,2024,1,1,
24.7,-99.8,america,2023,1,1,
42.0,-91.7,america,2023,1,1,
29.9,-98.7,america,2025,1,1,
51.0,-115.6,america,2023,1,1,
9.1,-79.7,america,2025,1,1,
15.9,-96.5,america,2025,1,2,
37.5,-79.5,america,2024,1,1,
5.3,-75.0,america,2024,1,1,
-0.2,-77.7,america,2024,1,2,
9.1,-79.6,america,2023,1,2,
44.0,-70.9,america,2024,1,1,
49.4,-117.4,america,2025,1,1,
-4.2,-73.2,america,2024,1,1,
44.7,-66.8,america,2024,1,4,
13.7,-89.2,america,2025,1,1,
0.6,-78.1,america,2023,1,1,
-41.1,-71.6,america,2023,1,2,
44.1,-68.6,america,2024,1,1,
31.7,-110.8,america,2023,2,1,
14.5,-88.7,america,2024,1,1,
40.4,-104.8,america,2023,1,1,
10.6,-61.6,america,2023,1,6,
17.9,-96.8,america,2023,1,1,
4.8,-56.7,america,2024,1,1,
9.5,-85.2,america,2025,1,1,
41.1,-104.8,america,2023,1,2,
-33.1,-69.0,america,2024,1,1,
5.4,-75.1,america,2024,1,1,
-11.8,-76.6,america,2023,1,1,
33.3,-86.8,america,2023,1,1,
42.4,-76.4,america,2024,1,1,
37.4,-122.2,america,2024,1,1,
-24.8,-65.4,america,2023,1,1,
46.8,-114.1,america,2025,1,1,
15.3,-90.3,america,2024,1,1,
45.8,-87.1,america,2025,2,9,
-26.9,-65.3,america,2024,1,1,
37.5,-119.0,america,2024,1,1,
40.1,-74.9,america,2025,1,1,
-4.2,-44.8,america,2023,1,3,
45.3,-122.9,america,2025,1,5,
25.8,-97.5,america,2025,1,1,
4.6,-74.1,america,2025,1,1,
53.5,-114.5,america,2024,1,2,
29.5,-94.6,america,2023,2,4,
18.0,-76.8,america,2024,1,1,
26.1,-97.2,america,2025,1,1,
28.1,-97.0,america,2024,1,1,
71.2,-156.8,america,2025,12,17,16.894
47.8,-90.7,america,2024,1,1,
22.9,-99.2,america,2023,2,2,
39.2,-75.7,america,2023,1,1,
19.6,-70.0,america,2023,1,1,
25.0,-77.6,america,2024,2,2,
50.4,-111.4,america,2024,1,4,
29.5,-98.8,america,2023,1,1,
44.9,-72.5,america,2025,1,1,
48.7,-64.3,america,2023,3,3,
44.6,-90.0,america,2023,4,11,
47.2,-121.2,america,2024,1,3,
48.8,-104.1,america,2025,2,11,
44.2,-83.5,america,2024,3,8,
72.7,-56.1,america,2024,1,1,
41.7,-75.9,america,2025,1,6,
47.0,-95.6,america,2024,1,1,
37.8,-88.0,america,2024,1,1,
45.2,-61.1,america,2024,4,4,
10.3,-84.8,america,2023,3,4,
36.0,-84.2,america,2023,1,5,
19.3,-99.2,america,2025,1,1,
17.2,-94.8,america,2023,6,2,
43.0,-76.0,america,2023,1,6,
28.7,-106.8,america,2023,1,1,
-27.7,-55.5,america,2025,1,1,
47.2,-120.5,america,2024,1,2,
32.7,-117.3,america,2025,1,3,
-9.9,-63.1,america,2025,1,2,
45.0,-108.6,america,2025,3,10,
-7.0,-78.2,america,2023,1,1,
47.0,-120.8,america,2024,2,1,
6.4,-74.4,america,2023,1,1,
62.4,-150.8,america,2023,4,1,
-32.7,-69.3,america,2024,1,1,
37.9,-75.8,america,2024,1,1,
19.2,-99.1,america,2023,4,4,
46.6,-118.3,america,2024,1,1,
-13.3,-64.5,america,2023,3,1,
-20.0,-62.6,america,2025,1,1,
4.6,-73.4,america,2023,5,8,
18.0,-76.4,america,2024,1,1,
10.4,-66.8,america,2023,8,13,
33.3,-118.2,america,2023,2,2,
64.4,-165.4,america,2025,1,2,
-25.5,-58.8,america,2024,1,1,
33.7,-114.6,america,2023,4,5,
-13.8,-66.2,america,2023,1,1,
5.2,-76.0,america,2024,1,1,
35.7,-118.2,america,2025,2,3,
-34.5,-58.6,america,2024,1,1,
23.5,-109.6,america,2025,2,1,
1.6,-76.2,america,2024,5,9,
27.5,-107.9,america,2025,3,2,
-3.8,-78.6,america,2024,5,4,
-18.2,-65.2,america,2023,5,5,
-12.1,-77.0,america,2024,1,1,
-19.0,-46.8,america,2023,2,2,
-12.1,-75.0,america,2024,1,1,
31.8,-111.0,america,2024,1,1,
-34.8,-56.4,america,2024,1,1,
-6.3,-77.9,america,2023,7,8,
18.3,-66.8,america,2023,4,4,
40.2,-80.2,america,2023,1,1,
60.4,-151.1,america,2023,1,1,
39.3,-84.6,america,2025,1,2,
0.7,-78.3,america,2023,2,1,
4.2,-75.1,america,2024,1,1,
-15.7,-47.8,america,2024,3,6,
2.0,-77.1,america,2024,1,1,
-6.8,-76.4,america,2025,3,5,
5.9,-74.9,america,2025,2,2,
33.3,-116.7,america,2023,2,2,
22.0,-78.5,america,2025,2,1,
40.2,-74.6,america,2023,1,1,
-4.3,-70.0,america,2023,4,6,
39.2,-75.5,america,2023,1,3,
42.1,-84.4,america,2025,2,2,
41.3,-73.1,america,2023,1,1,
34.4,-103.8,america,2023,2,8,
31.7,-109.4,america,2023,3,7,
9.2,-83.9,america,2024,3,5,
32.4,-110.8,america,2023,6,10,
28.7,-80.8,america,2023,8,6,
39.2,-84.5,america,2025,1,1,
39.0,-116.4,america,2024,1,1,
18.9,-69.7,america,2023,2,2,
37.6,-94.3,america,2025,3,9,
-23.8,-46.3,america,2023,1,1,
39.1,-83.8,america,2023,1,7,
-16.8,-56.9,america,2023,4,3,
63.8,-160.8,america,2023,1,3,
19.9,-101.2,america,2025,1,1,
26.4,-82.2,america,2024,1,2,
-26.5,-58.3,america,2024,1,1,
5.2,-52.9,america,2024,1,1,
-31.3,-51.0,america,2023,5,4,
40.8,-91.2,america,2025,3,3,
-15.0,-51.1,america,2024,4,5,
-34.1,-54.7,america,2024,3,6,
18.8,-99.1,america,2024,1,1,
45.6,-87.0,america,2025,6,8,
5.4,-53.2,america,2025,1,1,
17.2,-90.3,america,2024,1,1,
9.9,-69.3,america,2023,2,2,
-19.0,-46.9,america,2024,1,1,
-26.1,-58.3,america,2024,1,1,
-15.6,-48.0,america,2024,11,54,50.909
46.3,-62.9,america,2024,3,7,
-4.4,-80.0,america,2024,1,1,
-31.3,-57.9,america,2024,2,2,
-38.7,-72.8,america,2024,1,1,
43.0,-89.6,america,2024,2,1,
40.7,-74.0,america,2025,2,2,
40.4,-98.1,america,2023,9,6,
-1.2,-77.7,america,2025,1,2,
-16.6,-49.2,america,2025,1,1,
40.7,-74.0,america,2024,2,1,
26.5,-78.7,america,2024,1,1,
-31.0,-62.7,america,2023,9,8,
8.7,-83.2,america,2025,1,1,
46.8,-71.3,america,2023,1,1,
1.4,-76.5,america,2024,1,1,
-0.8,-80.3,america,2024,10,22,22.0
9.4,-83.7,america,2024,1,1,
37.7,-122.4,america,2025,1,1,
45.5,-73.6,america,2024,1,1,
-22.8,-47.6,america,2024,1,1,
32.5,-117.1,america,2024,2,4,
0.2,-78.3,america,2024,1,1,
-53.5,-69.4,america,2025,2,1,
41.3,-74.0,america,2024,5,6,
68.4,-149.4,america,2024,3,3,
-37.1,-73.6,america,2025,13,7,5.846
-31.7,-60.7,america,2025,2,9,
-5.2,-79.0,america,2023,2,2,
-33.3,-70.9,america,2025,4,7,
38.2,-121.5,america,2024,2,2,
29.9,-83.3,america,2023,1,1,
38.5,-121.7,america,2023,1,1,
-34.8,-58.4,america,2023,1,1,
41.4,-71.8,america,2023,1,1,
34.9,-83.9,america,2023,2,4,
38.4,-121.6,america,2025,3,3,
-26.8,-51.9,america,2025,1,1,
-26.5,-52.6,america,2024,1,1,
32.2,-109.3,america,2023,4,8,
33.8,-115.8,america,2023,1,1,
18.0,-76.4,america,2023,1,1,
44.9,-78.1,america,2023,2,2,
-1.9,-61.6,america,2025,1,4,
35.3,-120.9,america,2025,8,8,
44.1,-89.9,america,2023,6,8,
17.9,-67.1,america,2025,3,2,
-21.1,-57.5,america,2023,9,7,
-13.6,-62.0,america,2024,2,2,
-14.6,-40.4,america,2025,1,1,
-18.0,-63.4,america,2023,1,2,
-18.2,-64.9,america,2025,1,1,
-37.8,-72.9,america,2025,1,1,
48.5,-123.5,america,2023,2,1,
-13.3,-64.7,america,2024,2,2,
6.6,-74.7,america,2025,1,1,
-33.4,-70.8,america,2025,1,1,
46.1,-63.1,america,2023,1,1,
-51.6,-72.6,america,2024,1,1,
-32.9,-69.0,america,2024,7,8,
-35.5,-57.2,america,2024,1,4,
4.6,-74.2,america,2023,2,2,
-26.0,-58.2,america,2024,3,3,
-33.8,-71.7,america,2024,2,1,
-17.6,-65.4,america,2023,3,4,
-18.2,-69.6,america,2023,9,4,
-52.5,-69.4,america,2024,4,2,
-35.4,-58.1,america,2023,1,1,
-0.2,-78.4,america,2025,3,3,
-19.4,-64.3,america,2023,2,2,
-0.2,-78.4,america,2024,6,5,
45.8,-87.3,america,2025,3,14,
5.3,-75.9,america,2023,2,2,
20.3,-87.0,america,2023,2,1,
13.8,-61.0,america,2025,7,3,
-33.0,-60.9,america,2024,1,1,
49.0,-122.7,america,2024,2,5,
-33.8,-54.1,america,2024,3,4,
-38.8,-71.3,america,2024,1,1,
39.1,-122.1,america,2024,1,1,
32.6,-109.9,america,2024,6,13,
45.6,-86.7,america,2023,1,3,
35.2,-106.5,america,2023,3,2,
39.6,-106.2,america,2023,1,1,
45.8,-86.8,america,2025,1,7,
41.9,-70.1,america,2023,1,1,
48.7,-119.7,america,2024,1,5,
3.4,-74.2,america,2023,4,8,
10.3,-66.9,asia,2023,3,4,
47.8,-123.1,america,2024,1,1,
20.5,-86.9,america,2023,1,1,
9.5,-73.2,america,2025,7,5,
-23.6,-47.4,america,2023,3,3,
40.4,-114.3,america,2023,2,2,
-1.8,-80.8,america,2023,5,3,
8.5,-80.8,america,2024,1,1,
39.6,-105.0,america,2023,1,1,
25.8,-100.2,america,2024,2,2,
-26.8,-51.9,america,2024,2,2,
14.7,-61.1,america,2025,4,2,
29.7,-93.7,america,2024,1,1,
14.3,-89.2,america,2024,1,1,
-54.5,-70.4,america,2024,2,1,
30.0,-92.9,america,2024,5,4,
-3.8,-38.5,america,2023,2,2,
38.1,-75.9,america,2023,1,1,
14.6,-89.0,america,2023,1,1,
35.7,-75.6,america,2024,1,1,
31.7,-110.9,america,2024,5,7,
37.2,-113.0,america,2024,5,3,
-25.3,-57.4,america,2023,1,1,
16.2,-96.8,america,2023,3,3,
16.2,-96.8,america,2024,2,2,
-27.6,-55.8,america,2025,2,7,
31.8,-110.8,america,2025,1,2,
29.9,-93.1,america,2024,2,4,
-23.8,-64.9,america,2023,1,2,
14.4,-89.1,america,2024,2,1,
41.3,-73.0,america,2023,1,3,
9.5,-83.8,america,2023,1,1,
32.7,-116.9,america,2023,4,4,
38.1,-83.6,america,2024,1,1,
14.3,-87.8,america,2023,1,3,
-25.4,-49.0,america,2023,2,2,
-9.0,-62.1,america,2023,2,2,
36.4,-121.3,america,2024,1,1,
-31.8,-64.5,america,2023,2,3,
31.2,-92.7,america,2024,2,9,
-20.9,-49.5,america,2025,6,6,
5.5,-54.1,america,2025,1,1,
-24.0,-52.2,america,2023,3,2,
45.8,-88.0,america,2023,1,6,
32.7,-116.9,america,2025,3,10,
-30.6,-57.8,america,2024,3,2,
29.8,-91.8,america,2025,2,7,
38.6,-75.1,america,2023,1,1,
-19.8,-42.7,america,2025,1,1,
-12.9,-71.4,america,2024,2,2,
38.3,-75.1,america,2025,2,1,
-7.2,-40.1,america,2025,1,1,
14.9,-91.9,america,2024,1,1,
17.3,-96.5,america,2024,10,13,13.0
43.3,-79.8,america,2023,1,1,
41.2,-74.0,america,2025,2,2,
41.5,-83.9,america,2024,1,1,
57.6,-152.6,america,2024,2,10,
-25.1,-48.0,america,2023,3,2,
44.9,-93.4,america,2025,1,2,
-24.3,-47.0,america,2024,1,1,
43.8,-79.0,america,2023,5,4,
-24.2,-47.0,america,2023,1,1,
35.4,-120.7,america,2023,3,3,
37.1,-113.1,america,2024,5,3,
-21.9,-42.0,america,2023,1,2,
45.3,-87.4,america,2023,1,2,
47.6,-70.2,america,2025,8,3,
46.2,-62.9,america,2023,4,10,
44.4,-65.5,america,2024,5,7,
26.1,-98.0,america,2023,5,6,
46.6,-73.1,america,2025,2,3,
43.6,-79.4,america,2023,1,1,
41.1,-73.2,america,2023,1,1,
35.4,-86.9,america,2024,1,1,
45.9,-87.0,america,2025,2,9,
36.9,-88.1,america,2023,7,2,
-2.1,-80.4,america,2024,5,3,
6.1,-67.5,america,2024,2,2,
19.8,-97.5,america,2025,4,10,
40.2,-105.4,america,2024,5,14,
38.2,-119.5,america,2023,1,1,
37.2,-118.7,america,2023,1,2,
-3.0,-60.7,america,2024,1,1,
0.9,-78.2,america,2023,2,2,
36.8,-88.1,america,2023,1,1,
33.3,-118.4,america,2023,5,3,
9.4,-84.2,america,2023,2,2,
45.6,-73.9,america,2024,2,1,
33.0,-117.3,america,2023,4,2,
36.9,-88.2,america,2023,3,3,
38.8,-78.4,america,2023,4,6,
44.7,-84.9,america,2024,9,2,
32.6,-117.2,america,2024,1,1,
43.0,-76.0,america,2025,2,10,
45.7,-87.4,america,2024,1,1,
25.6,-80.8,america,2023,1,1,
14.3,-89.1,america,2023,1,1,
45.5,-73.8,america,2024,6,6,
30.2,-87.7,america,2023,1,1,
28.4,-81.4,america,2024,1,1,
-22.5,-60.1,america,2023,1,1,
-11.6,-74.8,america,2025,4,3,
11.1,-74.2,america,2025,4,4,
21.1,-89.6,america,2023,1,1,
48.4,-79.5,america,2023,2,1,
30.0,-92.6,america,2024,1,3,
27.4,-81.4,america,2023,1,2,
-23.4,-51.7,america,2023,1,1,
38.8,-77.1,america,2023,2,3,
44.7,-81.3,america,2023,1,1,
-11.8,-55.7,america,2025,3,5,
-39.7,-73.4,america,2024,1,1,
42.1,-111.4,america,2024,1,3,
43.9,-77.8,america,2024,1,2,
-40.7,-72.2,america,2023,1,2,
46.1,-87.8,america,2024,1,2,
44.5,-79.1,america,2023,1,1,
29.8,-93.1,america,2024,1,4,
27.2,-81.1,america,2023,1,1,
40.9,-73.8,america,2025,4,4,
22.1,-81.0,america,2023,1,1,
41.7,-117.5,america,2023,5,9,
39.0,-119.9,america,2024,1,1,
39.0,-106.2,america,2023,2,3,
20.4,-86.9,america,2024,2,2,
47.3,-92.9,america,2024,1,1,
-13.3,-66.8,america,2025,6,8,
45.6,-87.3,america,2023,2,2,
4.5,-52.3,america,2025,3,2,
-41.6,-72.6,america,2023,1,1,
38.9,-75.0,america,2023,1,1,
40.4,-106.9,america,2024,1,1,
40.2,-103.5,america,2024,1,2,
39.4,-122.2,america,2025,2,4,
-14.8,-48.9,america,2025,2,3,
41.3,-105.8,america,2023,1,1,
-1.1,-75.5,america,2025,2,1,
49.0,-122.3,america,2025,1,3,
1.1,-70.1,america,2023,1,1,
-25.3,-57.4,america,2024,1,2,
-22.4,-56.8,america,2025,2,2,
-25.1,-58.2,america,2024,2,2,
-23.5,-47.5,america,2023,2,2,
8.3,-83.2,america,2024,2,2,
-7.8,-40.7,america,2023,3,8,
22.2,-81.3,america,2025,5,3,
-22.9,-47.1,america,2023,2,3,
18.1,-94.5,america,2024,4,2,
46.1,-74.5,america,2023,2,2,
25.0,-77.4,america,2024,1,2,
-32.7,-58.3,america,2024,1,1,
-27.4,-55.9,america,2025,2,1,
22.9,-99.2,america,2024,2,2,
-15.6,-56.1,america,2023,2,2,
42.7,-71.7,america,2024,2,6,
-24.6,-48.8,america,2023,1,1,
-34.2,-71.4,america,2023,1,1,
-1.4,-48.3,america,2024,1,1,
-33.3,-71.0,america,2023,2,3,
7.7,-72.3,america,2023,1,1,
-23.2,-44.2,america,2023,2,3,
10.3,-73.1,america,2025,5,3,
-0.5,-78.4,america,2023,1,1,
-19.9,-50.4,america,2025,3,4,
4.9,-55.2,america,2023,4,4,
-25.3,-57.5,america,2023,4,5,
-30.5,-56.9,america,2024,3,6,
20.4,-105.5,america,2025,4,2,
-30.5,-57.2,america,2024,1,1,
16.8,-94.5,america,2025,1,1,
5.1,-73.4,america,2023,1,1,
0.8,-77.7,america,2025,1,1,
-3.0,-41.8,america,2024,1,1,
5.5,-53.5,america,2025,5,2,
0.1,-78.4,america,2023,1,1,
-7.1,-78.3,america,2023,2,1,
5.2,-76.1,america,2024,3,3,
24.8,-80.9,america,2025,4,1,
1.2,-77.0,america,2023,1,1,
-0.1,-78.5,america,2024,3,2,
21.6,-105.3,america,2025,1,1,
2.2,-75.5,america,2025,1,1,
48.6,-78.7,america,2023,1,1,
49.0,-123.2,america,2025,1,3,
26.1,-99.7,america,2024,2,2,
6.8,-75.6,america,2023,1,2,
38.1,-121.6,america,2024,4,2,
-0.4,-78.2,america,2025,2,2,
40.7,-73.9,america,2024,1,1,
38.1,-121.6,america,2025,3,2,
38.9,-77.1,america,2025,1,1,
-25.5,-54.6,america,2023,1,3,
-0.4,-78.2,america,2023,2,1,
39.6,-93.3,america,2025,4,16,
4.9,-73.8,america,2023,1,1,
-3.8,-78.6,america,2023,5,1,
-0.4,-78.5,america,2025,1,1,
31.9,-109.2,america,2025,2,5,
-31.5,-64.5,america,2023,4,4,
-0.4,-78.3,america,2024,3,3,
29.2,-103.3,america,2025,2,1,
18.2,-70.5,america,2023,1,1,
23.0,-99.3,america,2024,2,2,
5.5,-74.9,america,2023,1,1,
6.9,-75.6,america,2025,2,1,
17.5,-96.5,america,2023,1,1,
12.0,-61.8,america,2025,3,3,
-2.9,-77.7,america,2023,1,1,
-32.2,-53.8,america,2024,4,4,
42.0,-79.5,america,2024,2,8,
34.5,-87.0,america,2024,1,1,
-27.1,-49.7,america,2023,1,1,
-25.6,-49.1,america,2024,1,1,
34.5,-87.0,america,2025,6,3,
-27.2,-48.7,america,2024,6,5,
-1.0,-75.4,america,2025,3,4,
25.5,-100.3,america,2023,3,2,
-27.3,-49.7,america,2024,1,1,
-26.6,-55.8,america,2025,2,1,
-25.6,-54.6,america,2024,1,1,
-33.5,-70.7,america,2025,12,9,8.288
-1.4,-89.7,america,2024,8,3,
-26.7,-49.5,america,2023,3,3,
63.2,-147.7,america,2023,1,1,
-1.4,-89.8,america,2023,8,4,
-14.7,-40.4,america,2025,3,2,
-31.4,-58.0,america,2024,1,1,
68.7,-148.9,america,2023,1,1,
0.8,-78.5,america,2023,1,1,
-22.5,-42.1,america,2024,1,1,
-17.5,-65.5,america,2023,1,1,
-25.7,-54.6,america,2025,3,4,
-3.4,-43.0,america,2024,1,1,
-17.5,-65.9,america,2023,2,3,
5.7,-53.9,america,2025,4,3,
-24.4,-47.1,america,2025,6,7,
33.6,-116.7,america,2024,1,1,
5.3,-53.0,america,2025,3,3,
-32.3,-58.2,america,2025,1,1,
-26.2,-48.6,america,2023,1,1,
-16.6,-68.1,america,2025,4,6,
-24.0,-47.5,america,2023,2,2,
29.8,-90.2,america,2024,12,5,4.818
38.7,-77.1,america,2025,1,1,
3.5,-76.8,america,2025,1,1,
30.4,-94.4,america,2025,1,1,
-27.0,-53.7,america,2024,1,1,
10.1,-84.5,america,2024,1,1,
-24.2,-65.5,america,2024,2,2,
-33.7,-70.9,america,2024,1,2,
29.0,-81.0,america,2023,10,7,7.0
-17.8,-65.0,america,2025,3,2,
48.2,-122.5,america,2024,1,1,
5.6,-53.9,america,2025,1,1,
39.3,-117.2,america,2023,3,4,
89.9,53.0,america,2023,1,3,
14.1,-87.3,america,2025,1,1,
36.4,-115.7,america,2024,1,1,
47.1,-121.5,america,2023,1,2,
40.7,-74.1,america,2025,4,3,
50.6,-120.4,america,2023,1,1,
42.1,-122.8,america,2024,4,8,
46.6,-71.9,america,2023,1,1,
16.5,-90.2,america,2024,4,4,
40.2,-105.5,america,2024,2,1,
30.5,-91.8,america,2024,1,2,
-22.8,-45.7,america,2023,1,1,
32.6,-116.8,america,2024,1,1,
39.2,-76.7,america,2023,1,1,
39.1,-84.6,america,2024,1,4,
30.5,-84.0,america,2024,2,6,
18.2,-63.1,america,2023,1,1,
32.6,-114.7,america,2023,6,3,
27.6,-107.6,america,2024,1,1,
-15.4,-39.6,america,2025,1,1,
9.5,-84.4,america,2024,1,1,
-24.5,-58.2,america,2023,1,1,
8.3,-76.8,america,2023,1,3,
14.7,-91.0,america,2025,1,1,
26.9,-107.8,america,2025,3,3,
-5.3,-43.8,america,2025,1,1,
39.1,-77.2,america,2023,1,4,
20.5,-87.0,america,2023,1,2,
