urban_class,n_recordings,Acoustic_Complexity_Index__main_value__mean,Acoustic_Complexity_Index__main_value__median,Bio_acoustic_Index__main_value__mean,Bio_acoustic_Index__main_value__median,Acoustic_Diversity_Index__main_value__mean,Acoustic_Diversity_Index__main_value__median,Acoustic_Evenness_Index__main_value__mean,Acoustic_Evenness_Index__main_value__median,Normalized_Difference_Sound_Index__main_value__mean,Normalized_Difference_Sound_Index__main_value__median,Spectral_Entropy__main_value__mean,Spectral_Entropy__main_value__median,Temporal_Entropy__main_value__mean,Temporal_Entropy__main_value__median,NB_peaks__main_value__mean,NB_peaks__main_value__median,Wave_SNR__SNR__mean,Wave_SNR__SNR__median,Spectral_centroid__mean__mean,Spectral_centroid__mean__median,ZCR__mean__mean,ZCR__mean__median,RMS_energy__mean__mean,RMS_energy__mean__median
city,48131,1500.464768411156,700.2975609540473,9.967622425291154,7.797433474063968,1.870198630467758,1.99040901270215,0.2520643864212872,0.2126763543470327,0.3971848452222082,0.6308455664757173,0.8300421017353729,0.8351064999950608,0.9612969204521724,0.9720030363211967,3.958690909090909,3.0,30.659740819058772,30.630297327417445,5005.414758976326,4572.719309396597,0.1658696782156487,0.1436137354651162,0.015552574161891326,0.0090348068364251
rural,450060,2301.3197638937654,1066.0448323566666,10.594946385025402,9.183035330535649,1.8065912322132547,1.9351767310326295,0.28573964562485493,0.2682661049931947,0.6220240692182469,0.8854532129993498,0.8301467951650024,0.8368936878626697,0.9498639943789369,0.9580228879692076,3.8557888467641215,3.0,37.11245580865243,39.11310487360541,5333.17674491304,5116.570648046004,0.18241177501918487,0.16985658846872076,0.01660618406909154,0.0104346299500146
town,12732,1452.4525918869986,643.5088049584975,10.88810137451597,7.642805031105216,1.8888048581201757,2.0162148787151812,0.23067826644103326,0.1785528731764052,0.402330469151445,0.5999686088974825,0.8343601511693095,0.8399451329762212,0.9619036830760213,0.9727068364862324,3.9529531888155827,3.0,30.127514049165647,30.15431413564077,4979.910969488749,4705.201602503135,0.1677004632096416,0.1534559691102202,0.014479142385430027,0.008069480666500949
