lat_cell,lon_cell,continent,n_rec,S_obs,S_rare10,Acoustic_Complexity_Index__mean,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,Spectral_Entropy__main_value,Temporal_Entropy__main_value,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value
-16.4,46.8,africa,27,18,9.999,158.6549137405336,1.7004002344161055,0.3707177173677271,9.702421987368963,0.16479588166644352,0.8151740796657662,0.9419664537313722,2.888888888888889,1.7013146802118755,12.071497149727396,0.764085837494604
13.4,-16.8,africa,53,32,9.323,165.53275826754108,1.828049549972004,0.3257774472642293,8.22119599356165,0.4266404311540662,0.7853011555875489,0.9531834617448801,3.4339622641509435,1.8486269453900224,8.945875516954,0.7529975490087685
13.5,-15.0,africa,5,3,,183.31008971267502,2.032692159375565,0.1370566104071377,41.72043532946334,0.9897230475188514,0.8637218586148864,0.9785981807479734,3.4,1.9353975786844262,45.27427657533637,0.8578871030529529
0.0,32.4,africa,18,19,11.34,166.31741305002035,1.910487901475866,0.22722569321216823,10.016658594043495,0.400153568908222,0.8411042159734745,0.9567848251103084,3.4444444444444446,1.9015059369633869,10.831427296932116,0.8173299161674454
-25.0,31.5,africa,205,74,10.74,162.2808303813627,1.8459237132524928,0.2868482655761374,8.651441301987928,0.6732916128446983,0.8436477335205134,0.9463172954954768,4.029268292682927,1.851321517103032,9.624938512307056,0.8038868643430591
29.8,-7.3,africa,18,12,8.464,157.47016185347178,1.8253765524465448,0.2758354189659122,6.869091651816605,-0.2774217672127268,0.8317516173322592,0.9593767249532775,2.7222222222222223,1.809075556237822,8.798595389970323,0.7876521999539127
33.0,-7.3,africa,27,19,10.98,155.91669536127162,1.9911796373165478,0.1391117322327974,23.98308612910286,0.6798821497436238,0.9367093574857207,0.9682699977993515,7.888888888888889,1.954789402830384,26.386758309929427,0.9265512539208083
0.4,33.1,africa,9,7,,153.46195649657545,1.9120785759370418,0.24473900615362482,8.603733308907318,0.36338751527321844,0.8435588225267994,0.9755197264306159,3.7777777777777777,1.8538623281322613,10.360296551361483,0.8222416352289119
-1.6,10.5,africa,20,16,12.561,168.06693474994603,1.9091788503286498,0.2771765329317198,10.610691035001595,0.8145702751613417,0.8340074622513949,0.9310693188128528,5.8,1.916759235869615,11.42820293241588,0.7964580382337856
0.2,29.9,africa,94,34,8.378,167.60450242208165,1.876062564076466,0.27646858102238564,9.014691853144951,0.435664497244565,0.8368858678658803,0.9758795804159929,3.4574468085106385,1.8083530719175949,10.360727809617211,0.8278933838385182
