lat_cell,lon_cell,continent,n_rec,S_obs,S_rare10,Acoustic_Complexity_Index__mean,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,Spectral_Entropy__main_value,Temporal_Entropy__main_value,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value,lat_band,biodiversity_label_regional
-16.4,46.8,africa,102,36,13.737,159.12694554232633,1.7879715690006817,0.3234272587223565,10.074997069329948,0.41299617542895717,0.8050467154816894,0.9537643393062889,3.784313725490196,1.7951250555660292,11.590169798062151,0.7678429045098308,-20,good
13.4,-16.8,africa,141,60,11.033,163.94823479559415,1.6778024818774884,0.40213635142160326,13.359585869978266,0.4848242524193581,0.7507507452038744,0.9393879445618984,3.2127659574468086,1.699067890420297,14.221191116001279,0.722815949216935,10,moderate
13.5,-15.0,africa,6,4,,182.0333859083287,2.032589671029981,0.14175239609763557,35.8971758505637,0.8611008015167468,0.867185866313379,0.9796201832093745,2.8333333333333335,1.947725707893566,39.02320529306724,0.8668944439107303,10,insufficient_data
0.0,32.4,africa,37,26,10.938,166.19206706341782,1.7712993717506458,0.3355674690292739,13.196446560668418,0.5324847650343857,0.8202417397511022,0.9440638483006165,3.5675675675675675,1.8021685671084104,13.86470500418933,0.796900223883973,0,good
-25.0,31.5,africa,233,85,11.187,163.2526782663701,1.840529915774557,0.2899604657819105,8.800199263354207,0.6585959104665874,0.8395246189613539,0.9442096808239308,4.0042918454935625,1.8487183703799286,9.776636396367092,0.8003335539155501,-30,moderate
29.8,-7.3,africa,32,16,9.67,158.53963288312855,1.8523651612309633,0.2592987561234641,7.057766672291385,-0.23824051566349713,0.8426253530566636,0.9613357750932161,2.71875,1.8279333635537602,9.266336324856209,0.8010075287322138,20,moderate
33.0,-7.3,africa,39,28,12.213,157.33772080580556,1.978708070693869,0.15554755902547243,19.115917621873393,0.6084672804427285,0.9093318405488326,0.9693274011168824,6.102564102564102,1.9453765950802677,21.196293045592004,0.8968292254431501,30,good
0.4,33.1,africa,10,8,8.0,154.43649868583978,1.9165022801541425,0.24775718872895042,8.641243290255334,0.391739299685419,0.8354382640742608,0.9761520334881801,3.6,1.861797705207661,10.232728288659434,0.8190047422745875,0,bad
-1.6,10.5,africa,20,16,12.561,168.06693474994603,1.9091788503286498,0.2771765329317198,10.610691035001595,0.8145702751613417,0.8340074622513949,0.9310693188128528,5.8,1.916759235869615,11.42820293241588,0.7964580382337856,-10,good
0.2,29.9,africa,100,35,8.267,167.0625779184287,1.8701924329586683,0.2818509866063092,9.312890909611376,0.424503915820891,0.8367646935339209,0.9748826510849143,3.44,1.8076227793616226,10.716672189325914,0.8263306959005327,0,bad
-19.1,48.4,africa,44,22,9.611,168.9740986155044,1.636646374425997,0.3984818586404343,10.609594880988857,0.6749053148146585,0.7726739847739738,0.9351428611603019,3.5681818181818183,1.651588280586832,11.428180116568258,0.7356699214575773,-20,moderate
9.6,-13.6,africa,4,3,,174.72573950106965,2.0444164252556822,0.11394791018599604,7.735699355276297,0.601062181569764,0.8714421579637055,0.9570898003159701,4.5,1.983384484407516,8.784355730672559,0.8509856825241001,0,insufficient_data
12.5,-16.6,africa,8,13,,181.06052198073428,1.614595202399707,0.4416649827120865,10.74477247037985,0.4707854583067725,0.7865122152142007,0.952103704644258,3.5,1.6639414397065968,11.4189062649897,0.7573751357376595,10,insufficient_data
-3.4,39.9,africa,312,91,13.944,165.31726362029477,1.8388679739905456,0.28751217169726623,15.407258435892832,0.5653352721157853,0.7843280862020032,0.9563197008184725,3.391025641025641,1.8256149409642073,17.648427099021898,0.7599779258248547,-10,good
0.9,17.1,africa,2,2,,174.45787476525197,1.6248260135457715,0.4480136556362244,11.653220036726715,0.9747245379326925,0.8073087648247022,0.9549569409944478,4.0,1.6638270801108959,12.53759186326548,0.7519835453467372,0,insufficient_data
